day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
1,00:00:00,0069,88101,4,32.820061,-96.860117,8.9
1,01:00:00,0069,88101,4,32.820061,-96.860117,11.9
1,02:00:00,0069,88101,4,32.820061,-96.860117,11.9
1,03:00:00,0069,88101,4,32.820061,-96.860117,10.9
1,04:00:00,0069,88101,4,32.820061,-96.860117,10.9
1,05:00:00,0069,88101,4,32.820061,-96.860117,8.9
1,06:00:00,0069,88101,4,32.820061,-96.860117,16.0
1,07:00:00,0069,88101,4,32.820061,-96.860117,22.0
1,08:00:00,0069,88101,4,32.820061,-96.860117,22.0
1,09:00:00,0069,88101,4,32.820061,-96.860117,17.0
1,10:00:00,0069,88101,4,32.820061,-96.860117,14.0
1,11:00:00,0069,88101,4,32.820061,-96.860117,10.0
1,12:00:00,0069,88101,4,32.820061,-96.860117,15.0
1,13:00:00,0069,88101,4,32.820061,-96.860117,14.0
1,14:00:00,0069,88101,4,32.820061,-96.860117,12.0
1,15:00:00,0069,88101,4,32.820061,-96.860117,16.0
1,16:00:00,0069,88101,4,32.820061,-96.860117,13.0
1,17:00:00,0069,88101,4,32.820061,-96.860117,10.0
1,18:00:00,0069,88101,4,32.820061,-96.860117,13.0
1,19:00:00,0069,88101,4,32.820061,-96.860117,11.0
1,20:00:00,0069,88101,4,32.820061,-96.860117,13.0
1,21:00:00,0069,88101,4,32.820061,-96.860117,12.0
1,22:00:00,0069,88101,4,32.820061,-96.860117,7.0
1,23:00:00,0069,88101,4,32.820061,-96.860117,11.0
2,00:00:00,0069,88101,4,32.820061,-96.860117,9.0
2,01:00:00,0069,88101,4,32.820061,-96.860117,8.0
2,02:00:00,0069,88101,4,32.820061,-96.860117,8.0
2,03:00:00,0069,88101,4,32.820061,-96.860117,10.0
2,04:00:00,0069,88101,4,32.820061,-96.860117,9.0
2,05:00:00,0069,88101,4,32.820061,-96.860117,8.0
2,06:00:00,0069,88101,4,32.820061,-96.860117,8.0
2,07:00:00,0069,88101,4,32.820061,-96.860117,4.0
2,08:00:00,0069,88101,4,32.820061,-96.860117,4.0
2,09:00:00,0069,88101,4,32.820061,-96.860117,5.0
2,10:00:00,0069,88101,4,32.820061,-96.860117,4.0
2,11:00:00,0069,88101,4,32.820061,-96.860117,5.0
2,12:00:00,0069,88101,4,32.820061,-96.860117,7.0
2,13:00:00,0069,88101,4,32.820061,-96.860117,8.0
2,14:00:00,0069,88101,4,32.820061,-96.860117,10.0
2,15:00:00,0069,88101,4,32.820061,-96.860117,9.0
2,16:00:00,0069,88101,4,32.820061,-96.860117,6.0
2,17:00:00,0069,88101,4,32.820061,-96.860117,4.0
2,18:00:00,0069,88101,4,32.820061,-96.860117,4.0
2,19:00:00,0069,88101,4,32.820061,-96.860117,5.0
2,20:00:00,0069,88101,4,32.820061,-96.860117,6.0
2,21:00:00,0069,88101,4,32.820061,-96.860117,3.0
2,23:00:00,0069,88101,4,32.820061,-96.860117,-2.0
3,00:00:00,0069,88101,4,32.820061,-96.860117,0.0
3,01:00:00,0069,88101,4,32.820061,-96.860117,3.0
3,02:00:00,0069,88101,4,32.820061,-96.860117,1.0
3,03:00:00,0069,88101,4,32.820061,-96.860117,2.0
3,04:00:00,0069,88101,4,32.820061,-96.860117,1.0
3,06:00:00,0069,88101,4,32.820061,-96.860117,-2.0
3,08:00:00,0069,88101,4,32.820061,-96.860117,-1.0
3,09:00:00,0069,88101,4,32.820061,-96.860117,-1.0
3,11:00:00,0069,88101,4,32.820061,-96.860117,-1.0
3,12:00:00,0069,88101,4,32.820061,-96.860117,3.0
3,13:00:00,0069,88101,4,32.820061,-96.860117,4.0
3,14:00:00,0069,88101,4,32.820061,-96.860117,-1.0
3,16:00:00,0069,88101,4,32.820061,-96.860117,0.0
3,17:00:00,0069,88101,4,32.820061,-96.860117,4.0
3,18:00:00,0069,88101,4,32.820061,-96.860117,4.0
3,19:00:00,0069,88101,4,32.820061,-96.860117,2.0
3,20:00:00,0069,88101,4,32.820061,-96.860117,2.0
3,21:00:00,0069,88101,4,32.820061,-96.860117,4.0
3,22:00:00,0069,88101,4,32.820061,-96.860117,4.0
3,23:00:00,0069,88101,4,32.820061,-96.860117,4.0
4,00:00:00,0069,88101,4,32.820061,-96.860117,7.0
4,01:00:00,0069,88101,4,32.820061,-96.860117,7.0
4,02:00:00,0069,88101,4,32.820061,-96.860117,6.0
4,03:00:00,0069,88101,4,32.820061,-96.860117,2.0
4,04:00:00,0069,88101,4,32.820061,-96.860117,3.0
4,05:00:00,0069,88101,4,32.820061,-96.860117,0.0
4,06:00:00,0069,88101,4,32.820061,-96.860117,1.0
4,07:00:00,0069,88101,4,32.820061,-96.860117,7.0
4,08:00:00,0069,88101,4,32.820061,-96.860117,6.0
4,09:00:00,0069,88101,4,32.820061,-96.860117,8.0
4,10:00:00,0069,88101,4,32.820061,-96.860117,8.0
4,11:00:00,0069,88101,4,32.820061,-96.860117,5.0
4,12:00:00,0069,88101,4,32.820061,-96.860117,5.0
4,13:00:00,0069,88101,4,32.820061,-96.860117,6.0
4,14:00:00,0069,88101,4,32.820061,-96.860117,9.0
4,15:00:00,0069,88101,4,32.820061,-96.860117,7.0
4,16:00:00,0069,88101,4,32.820061,-96.860117,5.0
4,17:00:00,0069,88101,4,32.820061,-96.860117,6.0
4,18:00:00,0069,88101,4,32.820061,-96.860117,3.0
4,19:00:00,0069,88101,4,32.820061,-96.860117,2.0
4,20:00:00,0069,88101,4,32.820061,-96.860117,3.0
4,21:00:00,0069,88101,4,32.820061,-96.860117,1.0
4,23:00:00,0069,88101,4,32.820061,-96.860117,-1.0
5,00:00:00,0069,88101,4,32.820061,-96.860117,3.0
5,01:00:00,0069,88101,4,32.820061,-96.860117,5.0
5,02:00:00,0069,88101,4,32.820061,-96.860117,16.0
5,03:00:00,0069,88101,4,32.820061,-96.860117,8.0
5,04:00:00,0069,88101,4,32.820061,-96.860117,9.0
5,05:00:00,0069,88101,4,32.820061,-96.860117,6.0
5,06:00:00,0069,88101,4,32.820061,-96.860117,3.0
5,07:00:00,0069,88101,4,32.820061,-96.860117,2.0
5,08:00:00,0069,88101,4,32.820061,-96.860117,3.0
5,09:00:00,0069,88101,4,32.820061,-96.860117,4.0
5,10:00:00,0069,88101,4,32.820061,-96.860117,2.0
5,11:00:00,0069,88101,4,32.820061,-96.860117,2.0
5,12:00:00,0069,88101,4,32.820061,-96.860117,3.0
5,13:00:00,0069,88101,4,32.820061,-96.860117,4.0
5,14:00:00,0069,88101,4,32.820061,-96.860117,5.0
5,15:00:00,0069,88101,4,32.820061,-96.860117,6.0
5,16:00:00,0069,88101,4,32.820061,-96.860117,6.0
5,17:00:00,0069,88101,4,32.820061,-96.860117,6.0
5,18:00:00,0069,88101,4,32.820061,-96.860117,12.0
5,19:00:00,0069,88101,4,32.820061,-96.860117,11.0
5,20:00:00,0069,88101,4,32.820061,-96.860117,6.0
